"Search Key","Name","Description","Account Type","Account Sign","Document Controlled","Summary Level","Default Account","Parent_Value","Element Level","Operands","Show Value Condition","Title Node"
"A","ACTIVO","ACTIVO","Asset","Debit","N","Y",,,"E",,"Algebraic","N"
"A.A","A) ACTIVO NO CORRIENTE","A) ACTIVO NO CORRIENTE","Asset","Debit","N","Y",,"A","E",,"Algebraic","N"
"A.A.I","I. INMOVILIZADO INTANGIBLE","I. INMOVILIZADO INTANGIBLE","Asset","Debit","N","Y",,"A.A","E",,"Algebraic","N"
"A.A.I.1","1. DESARROLLO","1. DESARROLLO","Asset","Debit","N","Y",,"A.A.I","E",,"Algebraic","N"
201,"Desarrollo","Desarrollo","Asset","Debit","N","Y",,"A.A.I.1","C",,"Algebraic","N"
2010,"Desarrollo","Desarrollo","Asset","Debit","N","Y",,201,"D",,"Algebraic","N"
20100,"Desarrollo","Desarrollo","Asset","Debit","N","N",,2010,"S",,"Algebraic","N"
"280A","Amortización acumulada del inmovilizado intangible","Amortización acumulada del inmovilizado intangible","Asset","Debit","N","Y",,"A.A.I.1","C",,"Algebraic","N"
2801,"Amortización acumulada de desarrollo","Amortización acumulada de desarrollo","Asset","Debit","N","Y",,"280A","D",,"Algebraic","N"
28010,"Amortización acumulada de desarrollo","Amortización acumulada de desarrollo","Asset","Debit","N","N",,2801,"S",,"Algebraic","N"
"290A","Deterioro de valor del inmovilizado intangible","Deterioro de valor del inmovilizado intangible","Asset","Debit","N","Y",,"A.A.I.1","C",,"Algebraic","N"
2901,"Deterioro del valor de desarrollo","Deterioro del valor de desarrollo","Asset","Debit","N","Y",,"290A","D",,"Algebraic","N"
29010,"Deterioro del valor de desarrollo","Deterioro del valor de desarrollo","Asset","Debit","N","N",,2901,"S",,"Algebraic","N"
"A.A.I.2","2. CONCESIONES","2. CONCESIONES","Asset","Debit","N","Y",,"A.A.I","E",,"Algebraic","N"
202,"Concesiones administrativas","Concesiones administrativas","Asset","Debit","N","Y",,"A.A.I.2","C",,"Algebraic","N"
2020,"Concesiones administrativas","Concesiones administrativas","Asset","Debit","N","Y",,202,"D",,"Algebraic","N"
20200,"Concesiones administrativas","Concesiones administrativas","Asset","Debit","N","N",,2020,"S",,"Algebraic","N"
"280B","Amortización acumulada del inmovilizado intangible","Amortización acumulada del inmovilizado intangible","Asset","Debit","N","Y",,"A.A.I.2","C",,"Algebraic","N"
2802,"Amortización acumulada de concesiones administrativas","Amortización acumulada de concesiones administrativas","Asset","Debit","N","Y",,"280B","D",,"Algebraic","N"
28020,"Amortización acumulada de concesiones administrativas","Amortización acumulada de concesiones administrativas","Asset","Debit","N","N",,2802,"S",,"Algebraic","N"
"290B","Deterioro de valor del inmovilizado intangible","Deterioro de valor del inmovilizado intangible","Asset","Debit","N","Y",,"A.A.I.2","C",,"Algebraic","N"
2902,"Deterioro de valor de concesiones administrativas","Deterioro de valor de concesiones administrativas","Asset","Debit","N","Y",,"290B","D",,"Algebraic","N"
29020,"Deterioro de valor de concesiones administrativas","Deterioro de valor de concesiones administrativas","Asset","Debit","N","N",,2902,"S",,"Algebraic","N"
"A.A.I.3","3. PATENTES. LICENCIAS. MARCAS Y SIMILARES","3. PATENTES. LICENCIAS. MARCAS Y SIMILARES","Asset","Debit","N","Y",,"A.A.I","E",,"Algebraic","N"
203,"Propiedad industrial","Propiedad industrial","Asset","Debit","N","Y",,"A.A.I.3","C",,"Algebraic","N"
2030,"Propiedad industrial","Propiedad industrial","Asset","Debit","N","Y",,203,"D",,"Algebraic","N"
20300,"Propiedad industrial","Propiedad industrial","Asset","Debit","N","N",,2030,"S",,"Algebraic","N"
"280C","Amortización acumulada del inmovilizado intangible","Amortización acumulada del inmovilizado intangible","Asset","Debit","N","Y",,"A.A.I.3","C",,"Algebraic","N"
2803,"Amortización acumulada de propiedad industrial","Amortización acumulada de propiedad industrial","Asset","Debit","N","Y",,"280C","D",,"Algebraic","N"
28030,"Amortización acumulada de propiedad industrial","Amortización acumulada de propiedad industrial","Asset","Debit","N","N",,2803,"S",,"Algebraic","N"
"290C","Deterioro de valor del inmovilizado intangible","Deterioro de valor del inmovilizado intangible","Asset","Debit","N","Y",,"A.A.I.3","C",,"Algebraic","N"
2903,"Deterioro de valor de propiedad industrial","Deterioro de valor de propiedad industrial","Asset","Debit","N","Y",,"290C","D",,"Algebraic","N"
29030,"Deterioro de valor de propiedad industrial","Deterioro de valor de propiedad industrial","Asset","Debit","N","N",,2903,"S",,"Algebraic","N"
"A.A.I.4","4. FONDO DE COMERCIO","4. FONDO DE COMERCIO","Asset","Debit","N","Y",,"A.A.I","E",,"Algebraic","N"
204,"Fondo de comercio","Fondo de comercio","Asset","Debit","N","Y",,"A.A.I.4","C",,"Algebraic","N"
2040,"Fondo de comercio","Fondo de comercio","Asset","Debit","N","Y",,204,"D",,"Algebraic","N"
20400,"Fondo de comercio","Fondo de comercio","Asset","Debit","N","N",,2040,"S",,"Algebraic","N"
"A.A.I.5","5. APLICACIONES INFORMATICAS","5. APLICACIONES INFORMATICAS","Asset","Debit","N","Y",,"A.A.I","E",,"Algebraic","N"
206,"Aplicaciones informáticas","Aplicaciones informáticas","Asset","Debit","N","Y",,"A.A.I.5","C",,"Algebraic","N"
2060,"Aplicaciones informáticas","Aplicaciones informáticas","Asset","Debit","N","Y",,206,"D",,"Algebraic","N"
20600,"Aplicaciones informáticas","Aplicaciones informáticas","Asset","Debit","N","N",,2060,"S",,"Algebraic","N"
"280D","Amortización acumulada del inmovilizado intangible","Amortización acumulada del inmovilizado intangible","Asset","Debit","N","Y",,"A.A.I.5","C",,"Algebraic","N"
2806,"Amortización acumulada de aplicaciones informáticas","Amortización acumulada de aplicaciones informáticas","Asset","Debit","N","Y",,"280D","D",,"Algebraic","N"
28060,"Amortización acumulada de aplicaciones informáticas","Amortización acumulada de aplicaciones informáticas","Asset","Debit","N","N",,2806,"S",,"Algebraic","N"
"290D","Deterioro de valor del inmovilizado intangible","Deterioro de valor del inmovilizado intangible","Asset","Debit","N","Y",,"A.A.I.5","C",,"Algebraic","N"
2906,"Deterioro de valor de aplicaciones informáticas","Deterioro de valor de aplicaciones informáticas","Asset","Debit","N","Y",,"290D","D",,"Algebraic","N"
29060,"Deterioro de valor de aplicaciones informáticas","Deterioro de valor de aplicaciones informáticas","Asset","Debit","N","N",,2906,"S",,"Algebraic","N"
"A.A.I.6","6. INVESTIGACIÓN","6. INVESTIGACIÓN","Asset","Debit","N","Y",,"A.A.I","E",,"Algebraic","N"
200,"Investigación","Investigación","Asset","Debit","N","Y",,"A.A.I.6","C",,"Algebraic","N"
2000,"Investigación","Investigación","Asset","Debit","N","Y",,200,"D",,"Algebraic","N"
20000,"Investigación","Investigación","Asset","Debit","N","N",,2000,"S",,"Algebraic","N"
"280F","Amortización acumulada del inmovilizado intangible","Amortización acumulada del inmovilizado intangible","Asset","Debit","N","Y",,"A.A.I.6","C",,"Algebraic","N"
2800,"Amortización acumulada de investigación","Amortización acumulada de investigación","Asset","Debit","N","Y",,"280F","D",,"Algebraic","N"
28000,"Amortización acumulada de investigación ","Amortización acumulada de investigación ","Asset","Debit","N","N",,2800,"S",,"Algebraic","N"
"A.A.I.7","7. OTRO INMOVILIZADO INTANGIBLE","7. OTRO INMOVILIZADO INTANGIBLE","Asset","Debit","N","Y",,"A.A.I","E",,"Algebraic","N"
205,"Derechos de traspaso","Derechos de traspaso","Asset","Debit","N","Y",,"A.A.I.7","C",,"Algebraic","N"
2050,"Derechos de traspaso","Derechos de traspaso","Asset","Debit","N","Y",,205,"D",,"Algebraic","N"
20500,"Derechos de traspaso","Derechos de traspaso","Asset","Debit","N","N",,2050,"S",,"Algebraic","N"
209,"Anticipos para inmovilizaciones intangibles","Anticipos para inmovilizaciones intangibles","Asset","Debit","N","Y",,"A.A.I.7","C",,"Algebraic","N"
2090,"Anticipos para inmovilizaciones intangibles","Anticipos para inmovilizaciones intangibles","Asset","Debit","N","Y",,209,"D",,"Algebraic","N"
20900,"Anticipos para inmovilizaciones intangibles","Anticipos para inmovilizaciones intangibles","Asset","Debit","N","N",,2090,"S",,"Algebraic","N"
"280E","Amortización acumulada del inmovilizado intangible","Amortización acumulada del inmovilizado intangible","Asset","Debit","N","Y",,"A.A.I.7","C",,"Algebraic","N"
2805,"Amortización acumulada de derechos de traspaso","Amortización acumulada de derechos de traspaso","Asset","Debit","N","Y",,"280E","D",,"Algebraic","N"
